"customer_email","customer_id","avg_spending_amount"
SarahJohnson@gmail.com,fb3a78b2-939c-44eb-8633-f990a12b13ae,1465
LauraBrown@gmail.com,d5393417-556f-46ec-aea6-e7a07e75b3a7,1010
KatieMartinez@gmail.com,e72fad36-790a-45df-a14d-19c15363c4d6,1243
MichaelJones@gmail.com,c9480cdd-6e50-4838-8501-7c4bffc22d09,1062
JohnDavis@gmail.com,d4dd97ad-6bbf-4150-bce3-754fb82c24ea,1482
MichaelGarcia@gmail.com,f681b303-5a08-48a8-98f2-77a33d71ee9d,1162
SarahGarcia@gmail.com,f8ecde43-16f6-4707-8e7e-1a18db1b9494,1352
JaneMiller@gmail.com,ef201e45-2d07-499d-9c30-4826565b425a,1012
JaneSmith@gmail.com,"88020d00-65fd-4450-80c9-ec34356e486a",1191
EmilyWilliams@gmail.com,e6441264-404d-4460-830e-9d3fa826ed89,1499
KatieJones@gmail.com,e6691fdc-21bc-4732-929d-5b45c703d5e8,1403
EmilyMiller@gmail.com,c5d8e6c6-429c-4449-add4-b9d855b2dc7f,1029
JaneMartinez@gmail.com,e9cd2896-2ac1-4313-b748-c6a30c72cd90,1098
LauraSmith@gmail.com,"8ca77e61-0f23-4048-a991-6195417cb8a8",1222
ChrisMiller@gmail.com,ec87b66c-46e9-4ee1-bb9a-b687a06bbc24,1209
JaneWilliams@gmail.com,f7c6c999-bc91-4aea-b381-3c619f020dfa,1096
AlexDavis@gmail.com,ffe37509-e780-4340-9e73-ba7e808c697c,1287
EmilyRodriguez@gmail.com,ff412583-b2aa-4cc8-b9a2-dca985f8f7e7,1422
SarahDavis@gmail.com,"99408cbc-57b5-44ed-a287-ee0494612fc2",1157
DavidDavis@gmail.com,dfa36cef-d1b4-474e-b472-bf1a0163d2b8,1473
AlexRodriguez@gmail.com,c3662189-8619-4329-9d33-deadc6b3f5b2,1059
EmilyGarcia@gmail.com,"771e435b-1ae0-41fe-848f-cf5e5bb5e7fe",1459
ChrisRodriguez@gmail.com,"75fb2aea-b98e-492b-bd5b-060821b04376",1221
EmilyMartinez@gmail.com,"83048888-6061-4444-a8b7-3f23f8163c19",1471
LauraGarcia@gmail.com,e5190108-87c7-4599-9f42-76b6ba453970,1359
JaneJohnson@gmail.com,bf84e3e9-c544-43f9-92cf-c58a523ff873,1302
ChrisMartinez@gmail.com,"9433c051-24be-4212-bcf4-d1e056ed739c",1053
AlexSmith@gmail.com,baba5aa2-a620-4b7e-a772-398026af6177,1462
SarahMartinez@gmail.com,fc317fed-8b17-4a71-97c4-aca6f9ad0bc1,1409
ChrisJohnson@gmail.com,e803276a-edb3-47e8-bf79-26b0318f3a94,1214
JohnMiller@gmail.com,ec70b16e-05b7-41a3-87a0-5260e16d0133,1484
SarahWilliams@gmail.com,d0a40200-659b-44b2-b7d2-0c56f8068958,1381
LauraJohnson@gmail.com,ff224f11-505b-49f2-8f74-1077eeac0b0e,1464
JohnMartinez@gmail.com,f46bf08c-ec35-4c52-8d7d-1eb369c3fed4,1130
KatieRodriguez@gmail.com,f96a11e7-dc0f-4182-9722-b6525452c84d,1316
JaneBrown@gmail.com,"7116ca20-7720-475b-9b51-9a888672e9ad",1400
KatieBrown@gmail.com,de83c1a9-f411-4eaa-8c5f-ff15a43d3d44,1365
AlexJones@gmail.com,c0e7f847-7be8-4732-8cee-d4b548018d1a,1223
JaneGarcia@gmail.com,b30bdf69-c889-4715-9994-d6fac6672ad8,1327
JohnJones@gmail.com,ca6bb02c-908e-44dd-a4a2-cde845265c41,1155
ChrisSmith@gmail.com,cba108ac-4250-4cda-8e75-c32c8e560922,1439
DavidBrown@gmail.com,d5b7eb15-f9c3-4ea3-86e1-bb05ed405ed5,1033
KatieDavis@gmail.com,b75058e0-fa62-4ae5-ade7-efd33371d8af,1237
AlexBrown@gmail.com,"58cc2274-0308-44cd-8378-524a9dd63c84",1306
SarahBrown@gmail.com,a08fc684-0bf8-4ba9-a6fe-ab1097f2d841,1450
MichaelRodriguez@gmail.com,"66640541-afe1-4f6c-b143-8e0e50ef7751",1351
LauraDavis@gmail.com,d7c676d1-abef-4aab-a419-228767612048,1335
LauraMartinez@gmail.com,fdc79a5c-a97e-4a26-bbba-1c13e7faff1d,1077
JohnGarcia@gmail.com,e598458a-afe3-4d32-919d-5c0cbdfab7b3,1445
JaneJones@gmail.com,d5ff003e-b516-47c7-917e-1f1359e2caaf,1220
LauraMiller@gmail.com,fab0b022-a9ca-4cd5-bf60-ceb201f0bc11,1156
JohnWilliams@gmail.com,b87f6dce-8eb7-4a38-b7c3-a367007493bd,1384
AlexWilliams@gmail.com,fdacc543-19c2-4d86-a5d6-209775bea9fd,1115
ChrisJones@gmail.com,f7d44157-cc07-42ce-b9d8-5561cde1f7f0,1020
EmilyDavis@gmail.com,b4e8906b-ebcb-467d-8c0c-4e4adc13fcb1,1122
MichaelJohnson@gmail.com,f2b01aca-c04e-4d88-b314-f903cd19e903,1372
DavidGarcia@gmail.com,a69c8fea-4efb-4515-adf1-1458851aed99,1412
EmilyJohnson@gmail.com,cfedb75f-c9e2-43f8-ac52-22447322606f,1114
DavidJohnson@gmail.com,e0dcfde6-c637-40fd-98a0-e70b42c6106d,1209
SarahJones@gmail.com,"92134f58-42e5-44b6-b05b-c2da75ff4699",1476
ChrisBrown@gmail.com,c4866afa-4fc4-4d4e-ac18-f4c9d79812ed,1202
DavidRodriguez@gmail.com,ebf7deb0-9c49-4f75-aa1e-3a9217e82942,1286
MichaelMiller@gmail.com,aba167d7-e061-4417-ac40-a31586826457,1347
KatieWilliams@gmail.com,f8b6e0ee-a3dc-4441-a0c6-5dca059814b7,1395
JohnSmith@gmail.com,f3025e4a-f387-434c-b110-9a759a935481,1470
MichaelSmith@gmail.com,ba09f23c-c422-4d2b-89ff-a83fa46394bc,1287
LauraRodriguez@gmail.com,c2e2cd8c-5a25-4da2-8956-f0b1258f963d,1484
JaneRodriguez@gmail.com,fb153261-4465-4061-812e-12ce010b8223,1469
LauraJones@gmail.com,de71127d-85e0-4c02-a254-ca88b52d6d98,1498
ChrisDavis@gmail.com,"96213005-e3ac-4aad-a6f2-a9ea225b9875",1377
MichaelWilliams@gmail.com,d7e73a82-0135-4e38-82a3-7707142db7b8,1124
AlexMartinez@gmail.com,fc526c07-a8dc-417f-a160-8e9431603f6f,1442
DavidJones@gmail.com,d72c0159-9f77-4544-8250-41a086e85b3b,1472
KatieSmith@gmail.com,f94ad274-bf31-4256-8cbf-01b77cc2162d,1385
DavidSmith@gmail.com,ec2e47b7-afd0-4e1d-b45a-eba22b18cfc9,1126
